tar_lum,mat_lum,obs,background
60,40.87333333333333,sub4,homogeneous
312,396.73333333333323,sub4,homogeneous
25,13.74,sub4,homogeneous
25,8.539333333333332,sub4,homogeneous
120,109.46666666666664,sub4,homogeneous
199,295.83333333333326,sub4,homogeneous
25,13.74,sub4,homogeneous
281,379.2666666666666,sub4,homogeneous
40,19.65333333333333,sub4,homogeneous
242,349.9333333333333,sub4,homogeneous
155,154.2333333333333,sub4,homogeneous
312,337.9333333333333,sub5,variegated
312,322.2,sub5,variegated
60,55.76333333333332,sub5,variegated
60,45.52,sub5,variegated
40,370.76666666666677,sub5,variegated
312,295.83333333333326,sub5,variegated
89,90.32666666666665,sub5,variegated
120,144.6,sub5,variegated
199,211.7,sub5,variegated
25,18.943333333333328,sub5,variegated
155,167.5333333333333,sub5,variegated
89,105.66666666666669,sub5,variegated
281,270.2,sub5,variegated
60,68.60333333333334,sub5,variegated
